BRAF
AKT3
PLA2G4B
RASA4B
RASGRP1
RASA4
RASGRP2
PAK4
GNB5
BUB1B-PAK6
RALBP1
P3R3URF-PIK3R3
PLAAT3
RASSF1
CHUK
RASGRP4
PLA2G4E
EFNA4-EFNA3
CSF1
CSF1R
CALML6
EFNA1
EFNA2
EFNA3
EFNA4
EFNA5
EGF
EGFR
EPHA2
ELK1
AKT1
AKT2
ETS1
ETS2
FGF1
FGF2
FGF3
FGF4
FGF5
FGF6
FGF7
FGF8
FGF9
FGF10
FGFR1
FGFR3
FGFR2
FGFR4
VEGFD
RRAS2
MRAS
RASA3
RGL1
FLT1
FLT3
FLT3LG
FLT4
ABL1
RALGAPA1
GAB1
PLA2G4F
SHC2
RASGRP3
PLA2G2D
FGF20
FGF21
ABL2
FGF22
LAT
GNB1
GNB2
GNB3
GNG3
GNG4
GNG5
GNG7
GNG10
GNG11
GNGT1
GNGT2
KSR2
PLA2G4D
ANGPT1
ANGPT2
GRB2
GRIN1
GRIN2A
GRIN2B
TBK1
PLA2G2E
HGF
HRAS
HTR7
IGF1
IGF1R
IGF2
IKBKB
FASLG
INS
INSR
KDR
KIT
ARF6
KRAS
RHOA
PLA2G2C
SHC4
MET
KITLG
AFDN
FOXO4
NF1
NFKB1
NGF
NGFR
NRAS
NTF3
NTF4
NTRK1
NTRK2
PLA2G3
PAK1
PAK2
PAK3
PLCE1
PLA1A
ANGPT4
PDGFA
PDGFB
PDGFRA
PDGFRB
GNG13
CALML5
PGF
PIK3CA
PIK3CB
PIK3CD
PIK3R1
PIK3R2
PLA2G1B
PLA2G2A
PLA2G4A
PLA2G5
PLCG1
SHC3
PLCG2
PLD1
PLD2
GNG2
PLAAT2
PRKACA
PRKACB
PRKACG
EXOC2
PRKCA
PRKCB
PRKCG
MAPK1
MAPK3
GNG12
MAPK8
MAPK9
MAPK10
PDGFC
MAP2K1
MAP2K2
PAK6
PAK5
RALGAPB
RALGAPA2
BAD
PTPN11
RGL2
RAB5A
RAB5B
RAB5C
RAC1
RAC2
RAC3
RAF1
RALA
RALB
RALGDS
RAP1A
RAP1B
RASA1
RASA2
RASGRF1
RASGRF2
GNB4
REL
RELA
BCL2L1
RRAS
BDNF
PLA2G2F
SHC1
RASAL3
SOS1
SOS2
STK4
TEK
TGFA
TIAM1
VEGFA
VEGFB
VEGFC
ZAP70
CALM1
PDGFD
SHOC2
CALM2
FGF23
CALM3
CALML3
PLA2G12A
BRAP
RASSF5
PLA2G6
PLA2G10
RASAL1
PLA2G12B
PIK3R3
IKBKG
PLA2G4C
JMJD7-PLA2G4B
FGF18
FGF17
FGF16
SYNGAP1
KSR1
CALML4
GNG8
RASAL2
RIN1
RAPGEF5
GAB2
FGF19
CDC42
