ACVR2A
AIM2
AKT1
AKT3
ALK
APC
ARID1A
ASTE1
ATM
ATP2A1
ATR
ATRX
BAP1
BARD1
BAT25 
BAT26 
BRAF
BRCA1
BRCA2
BRIP1
CBL
CCDC6
CCND1
CD74
CDK12
CDK4
CDKN2A
CDKN2B
CHEK1
CHEK2
CTNNB1
DAXX
DEPDC5
DEPDC5
DICER1
DROSHA
EGFR
EIF1AX
ELOC
EML4
EPCAM
ERBB2
EZR
FANCA
FANCL
FGFR1
FGFR2
FGFR3
FH
FOXL2
GNA11
GNAQ
GNAS
GRIN2C
H3-3A
H3C2
HNF1A
HRAS
IDH1
IDH2
IL6ST
KBTBD4
KDM6A
KEAP1
KIF5B
KIT
KLHL22
KMT2C
KMT2D
KRAS
LZTR1
MAP2K1
MAP3K3
MARCKS
MDM2
MEN1
MET
MITF
MLH1
MONO27 
MRE11
MSH2
MSH6
MTOR
MYB
MYC-N
NBN
NCOA4
NF1
NF2
NPRL2
NPRL3
NR21 
NR24 
NRAS
PALB2
PBRM1
PDGFRA
PIK3CA
PIK3R1
PMS2
POLE
PPFIA4
PRKAR1A
PRKCA
PRKD1
PTEN
PTHLH
PTPN11
RAD51A
RAD51B
RAD51C
RAD54L
RAF1
RB1
RET
RHEB
RIT1
RNF43
ROS1
SDC4
SDHA
SDHB
SDHC
SDHD
SF3B1
SLC34A2
SLC35A2
SMAD4
SMARCA4
SOS1
STK11
TAF1B
TEK 
TERT
TFEB
TGFBR2
TP53
TSC1
TSC2
