ACTB
ACTG1
ADGRG1
AKT3
AKT3
APC2
ARF1
ARFGEF2
ARX
ARX
ASPM
ATP1A2
ATP1A3
B3GALNT2
B4GAT1
BICD2
CAMSAP1
CASP2
CCND2
CEP85L
CNTNAP2
COL18A1
COL3A1
COL3A1
COL4A1
CRADD
CSMD1
CTNNA2
DCHS1
DCHS1
DCX
DEPDC5
DEPDC5
DYNC1H1
DYNC1H1
EML1
EML1
FKRP
FKTN
FLNA
GPSM2
GRIN1
GRIN2B
HNRNPK
HSD17B4
ISPD
KATNB1
KIF1BP
KIF26A
KIF2A
KIF5C
KIF5C
LAMA2
LAMA2
LAMB1
LAMB1
LAMC3
LARGE1
LARGE1
MACF1
MAN2C1
MAP1B
MAP1B
MAPK8IP3
MAST1
MTOR
NDE1
NDE1
NEDD4L
NEDD4L
NPRL2
NPRL3
OCLN
OSGEP
PAFAH1B1
PEX1
PEX6
PIDD1
PIK3CA
PIK3R2
POMGNT1
POMGNT2
POMT1
POMT2
PTEN
PTEN
RAB18
RAB3GAP1
RAB3GAP2
RAC1
RAC3
RELN
RTTN
SCN3A
SHMT2
SLC35A2
SNAP29
SNAP29
TMEM5
TMEM5
TMTC3
TMX2
TP73
TSC1
TSC2
TUBA1A
TUBA1A
TUBA1A
TUBB
TUBB
TUBB2A
TUBB2B
TUBB2B
TUBB3
TUBB3
TUBG1
TUBGCP2
VLDLR
WDR62
AHI1
ASTN1
BRAF
CDK5
COL4A2
CSNK2A1
EMX2
FAT4
FIG4
GMPPB
KAT6B
L1CAM
MED25
MFN2
MFN2
NHEJ1
NSDHL
NSDHL
PAX6
PEX10
PEX12
PEX13
PEX14
PEX16
PEX19
PEX2
PEX26
PEX3
PEX5
PI4KA
SMO
STRADA
TMX2
TTL
B3GNT2
BICD2
CEP83
DAG1
DAG1
ENO1
EOMES
ERMARD
INTS8
MCF2
PEX11B
SHH
SIX3
SRD5A3
SRD5A3
SRPX2
SYNCRIP
TMEM216
TMTC3
TUBA8
TUBA8
TUBGCP4
